Category,KM,Link,Price,Year,Currency,DATE,Brand,Model
1.0,76000,https://www.kktcarabam.com/215801-toyota-yaris-gmagusa-benzin-otomatik,11900.0,2022.0,GBP,2025-12-25,Toyota,Yaris
Sportback,76000,https://www.kktcarabam.com/215472-audi-a3-girne-benzin-otomatik,17500.0,2019.0,GBP,2025-12-25,Audi,A3
1.5i,220000,https://www.kktcarabam.com/216024-mazda-familia-guzelyurt-benzin-otomatik,3700.0,2002.0,GBP,2025-12-25,Mazda,Familia
1.3,202000,https://www.kktcarabam.com/216013-suzuki-swift-girne-benzin-otomatik,4750.0,2006.0,GBP,2025-12-25,Suzuki,Swift
1.8 Hybrid,21000,https://www.kktcarabam.com/216004-toyota-c-hr-gmagusa-hibrit-otomatik,23500.0,2021.0,GBP,2025-12-25,Toyota,C-HR
-,1610,https://www.kktcarabam.com/215946-honda-diger-lefkosa-benzin-otomatik,1500.0,2019.0,GBP,2025-12-25,Honda,Diğer
220d,170000,https://www.kktcarabam.com/197958-mercedes-benz-cls-gmagusa-dizel-otomatik,22500.0,2017.0,GBP,2025-12-25,Mercedes-Benz,CLS
35 TFSI,37000,https://www.kktcarabam.com/215971-audi-q3-lefkosa-benzin-otomatik,31000.0,2022.0,GBP,2025-12-25,Audi,Q3
-,82000,https://www.kktcarabam.com/215002-isuzu-d-max-gmagusa-dizel-otomatik,24500.0,2019.0,GBP,2025-12-25,Isuzu,D-Max
180,131500,https://www.kktcarabam.com/202835-mercedes-benz-a-serisi-girne-benzin-otomatik,13500.0,2015.0,GBP,2025-12-25,Mercedes-Benz,A Serisi
1.5 i-VTEC Hybrid Automatic,27000,https://www.kktcarabam.com/202940-honda-vezel-lefkosa-hibrit-otomatik,30900.0,2022.0,GBP,2025-12-25,Honda,Vezel
2.0 TD4,65000,https://www.kktcarabam.com/200785-land-rover-discovery-sport-girne-dizel-yari-otomatik,27900.0,2020.0,GBP,2025-12-25,Land Rover,Discovery Sport
e-Power,124000,https://www.kktcarabam.com/200783-nissan-note-girne-hibrit-otomatik,12250.0,2020.0,GBP,2025-12-25,Nissan,Note
2.0 TD4,96561,https://www.kktcarabam.com/200781-land-rover-range-rover-evoque-girne-dizel-yari-otomatik,20900.0,2019.0,GBP,2025-12-25,Land Rover,Range Rover Evoque
2.0 TFSI,65000,https://www.kktcarabam.com/200813-audi-a4-gmagusa-benzin-otomatik,29500.0,2021.0,GBP,2025-12-25,Audi,A4
