Company,CurrentStockCount,CurrentStockAskingValue,MedianCurrentAskingPrice,MedianPublicListingAgeDays,P75PublicListingAgeDays,FreshStockCount,NormalStockCount,AboveTypicalAgeCount,AgedStockCount,VeryAgedStockCount,LowPricePositionCount,MidMarketPriceCount,HighPricePositionCount,InsufficientPriceComparisonCount,WatchStockCount,AttentionStockCount,HighAttentionStockCount,DistinctBrands,DistinctModels,HistoricalDistinctListings,HistoricalObservedMarketExits,HistoricalMedianObservedDaysToExit,HistoricalPriceReductionEligibleListings,HistoricalPriceReductionListings,HistoricalPriceReductionRate,PublicListingAgeDefinition,HistoricalExitDefinition
Asal Oto Galeri,788,12480900.0,12900.0,190.0,260.0,21,28,92,45,536,126,146,181,84,96,440,157,28,155,2504,1691,42.0,1441,151,0.10478834142956281,DAYS_SINCE_FIRST_OBSERVED_ADVERTISED,OBSERVED_MARKET_EXIT_NOT_CONFIRMED_SALE
Osmanlızade Otomotiv,510,12825750.0,22000.0,260.0,260.0,12,16,21,4,438,65,89,136,22,23,327,120,20,107,1111,573,63.0,461,49,0.10629067245119306,DAYS_SINCE_FIRST_OBSERVED_ADVERTISED,OBSERVED_MARKET_EXIT_NOT_CONFIRMED_SALE
OSHAN AUTO GALERI,356,7445946.0,15500.0,185.5,260.0,23,27,35,14,233,100,60,49,34,47,226,33,25,127,759,400,45.0,431,115,0.2668213457076566,DAYS_SINCE_FIRST_OBSERVED_ADVERTISED,OBSERVED_MARKET_EXIT_NOT_CONFIRMED_SALE
KA & İS MOTORS,226,5036650.0,19900.0,79.0,91.0,30,20,58,30,84,28,46,80,11,54,88,49,16,67,971,745,23.0,811,66,0.08138101109741061,DAYS_SINCE_FIRST_OBSERVED_ADVERTISED,OBSERVED_MARKET_EXIT_NOT_CONFIRMED_SALE
Süleymanlar Autos Ltd,158,2587800.0,14375.0,215.0,260.0,5,8,16,3,112,10,10,63,25,17,59,58,21,78,398,239,34.0,282,8,0.028368794326241134,DAYS_SINCE_FIRST_OBSERVED_ADVERTISED,OBSERVED_MARKET_EXIT_NOT_CONFIRMED_SALE
Hasan Debreli Motors,144,4275450.0,23200.0,99.0,231.5,13,10,24,11,76,13,11,67,18,24,40,55,19,71,386,238,55.0,270,32,0.11851851851851852,DAYS_SINCE_FIRST_OBSERVED_ADVERTISED,OBSERVED_MARKET_EXIT_NOT_CONFIRMED_SALE
Özçelebi Oto Trading Ltd.,131,2451400.0,15000.0,141.0,149.0,5,6,28,7,76,15,28,32,10,28,66,23,15,60,264,127,38.0,258,47,0.1821705426356589,DAYS_SINCE_FIRST_OBSERVED_ADVERTISED,OBSERVED_MARKET_EXIT_NOT_CONFIRMED_SALE
MUSTAFA ZORER PRESTIGE CARS,114,2945700.0,21400.0,155.5,244.75,2,0,16,4,80,16,17,23,16,16,64,20,18,65,233,116,67.0,145,39,0.2689655172413793,DAYS_SINCE_FIRST_OBSERVED_ADVERTISED,OBSERVED_MARKET_EXIT_NOT_CONFIRMED_SALE
KAĞAN BEKTAŞ AUTOMOTIVE,111,2688140.0,24900.0,70.0,99.0,10,12,25,16,45,13,26,29,6,27,50,18,16,42,412,300,28.5,337,15,0.04451038575667656,DAYS_SINCE_FIRST_OBSERVED_ADVERTISED,OBSERVED_MARKET_EXIT_NOT_CONFIRMED_SALE
Erol Auto,110,2504700.0,16000.0,119.5,260.0,9,4,13,7,35,14,10,23,42,14,41,9,19,80,345,235,35.0,235,38,0.16170212765957448,DAYS_SINCE_FIRST_OBSERVED_ADVERTISED,OBSERVED_MARKET_EXIT_NOT_CONFIRMED_SALE
