BusinessGranularity,VehicleType,Brand,Model,CategoryDetail,Year,CurrentListings,CurrentStartingPrice,CurrentMedianPrice,CurrentHighestPrice,GalleryListings,PrivateListings,DistinctCompanies,HistoricalBenchmarkSourceLiquidity,HistoricalBenchmarkSourcePricePressure,LiquidityHistoricalDistinctListings,PricePressureHistoricalDistinctListings,HistoricalDistinctListings,Exit60EligibleListings,PricePressureEligibleListings,MedianObservedDaysToExit,ObservedExitWithin60DaysRate,PriceReductionRate,LiquidityEvidenceConfidence,PricePressureEvidenceConfidence,EvidenceQuality,TurnoverPercentile,RawSupplyScarcityPercentile,CurrentMarketOpportunityPercentile,PricePressureAttractivenessPercentile,EvidencePriorityModifier,TurnoverSignal,CurrentSupplySignal,PricePressureSignal,OpportunityIndexInternal,ConfidenceAdjustedOpportunityIndex,OpportunityPercentile,AcquisitionSignal,AcquisitionReasons,ObservedExitDefinition
CATEGORY_YEAR,Otomobil,Honda,Fit,1.3 Automatic,2014,1,8500.0,8500.0,8500.0,1,0,1,CATEGORY_NEAR_YEAR,CATEGORY_NEAR_YEAR,57.0,57.0,57.0,45.0,48.0,11.0,0.8222222222222222,0.125,MEDIUM,MEDIUM,MEDIUM,97.75,71.07,65.0,90.13,0.97,STRONG,MODERATE,STRONG,88.91,86.24,99.78,VERY_STRONG,STRONG_OBSERVED_TURNOVER|RELATIVELY_LOW_ASKING_PRICE_PRESSURE,OBSERVED_MARKET_EXIT_NOT_CONFIRMED_SALE
CATEGORY_YEAR,Otomobil,Mitsubishi,Colt,1.3,2004,1,4250.0,4250.0,4250.0,1,0,1,CATEGORY_NEAR_YEAR,CATEGORY_NEAR_YEAR,56.0,56.0,56.0,40.0,45.0,10.0,0.825,0.15555555555555556,MEDIUM,MEDIUM,MEDIUM,98.05,71.07,65.0,84.51,0.97,STRONG,MODERATE,STRONG,87.38,84.76,99.39,VERY_STRONG,STRONG_OBSERVED_TURNOVER|RELATIVELY_LOW_ASKING_PRICE_PRESSURE,OBSERVED_MARKET_EXIT_NOT_CONFIRMED_SALE
CATEGORY_YEAR,Otomobil,Suzuki,Swift,1.4 Sport,2012,1,6250.0,6250.0,6250.0,0,1,1,CATEGORY_ALL_YEARS,CATEGORY_ALL_YEARS,71.0,71.0,71.0,36.0,46.0,16.0,0.7777777777777778,0.17391304347826086,MEDIUM,MEDIUM,MEDIUM,95.11,71.07,65.0,80.57,0.97,STRONG,MODERATE,STRONG,84.73,82.19,98.7,VERY_STRONG,STRONG_OBSERVED_TURNOVER|RELATIVELY_LOW_ASKING_PRICE_PRESSURE,OBSERVED_MARKET_EXIT_NOT_CONFIRMED_SALE
CATEGORY_YEAR,"Arazi, SUV, Pick-up",Mercedes-Benz,GLS,400 D,2024,1,89000.0,89000.0,89000.0,1,0,1,CATEGORY_ALL_YEARS,CATEGORY_ALL_YEARS,51.0,51.0,51.0,31.0,37.0,40.0,0.5806451612903226,0.08108108108108109,MEDIUM,MEDIUM,MEDIUM,87.82,71.4,65.0,93.04,0.97,STRONG,MODERATE,STRONG,84.82,82.28,98.44,VERY_STRONG,STRONG_OBSERVED_TURNOVER|RELATIVELY_LOW_ASKING_PRICE_PRESSURE,OBSERVED_MARKET_EXIT_NOT_CONFIRMED_SALE
CATEGORY_YEAR,"Arazi, SUV, Pick-up",Mercedes-Benz,GLS,350 D,2019,1,51000.0,51000.0,51000.0,1,0,1,MODEL_ALL_YEARS,MODEL_ALL_YEARS,75.0,75.0,75.0,49.0,59.0,36.0,0.5714285714285714,0.06779661016949153,MEDIUM,MEDIUM,MEDIUM,86.74,71.4,65.0,94.57,0.97,STRONG,MODERATE,STRONG,84.74,82.2,98.34,VERY_STRONG,STRONG_OBSERVED_TURNOVER|RELATIVELY_LOW_ASKING_PRICE_PRESSURE,OBSERVED_MARKET_EXIT_NOT_CONFIRMED_SALE
CATEGORY_YEAR,Otomobil,Mitsubishi,Colt,1.3,2013,1,5500.0,5500.0,5500.0,0,1,1,CATEGORY_ALL_YEARS,CATEGORY_ALL_YEARS,116.0,116.0,116.0,73.0,87.0,16.0,0.7397260273972602,0.1724137931034483,MEDIUM,MEDIUM,MEDIUM,93.04,71.07,65.0,80.69,0.97,STRONG,MODERATE,STRONG,83.73,81.22,98.01,VERY_STRONG,STRONG_OBSERVED_TURNOVER|RELATIVELY_LOW_ASKING_PRICE_PRESSURE,OBSERVED_MARKET_EXIT_NOT_CONFIRMED_SALE
CATEGORY_YEAR,Otomobil,Mazda,3,1.6,2022,1,18500.0,18500.0,18500.0,0,1,1,MODEL_YEAR,MODEL_YEAR,90.0,90.0,90.0,53.0,62.0,27.0,0.660377358490566,0.11290322580645161,MEDIUM,MEDIUM,MEDIUM,84.89,71.07,65.0,91.06,0.97,STRONG,MODERATE,STRONG,82.76,80.28,97.45,VERY_STRONG,STRONG_OBSERVED_TURNOVER|RELATIVELY_LOW_ASKING_PRICE_PRESSURE,OBSERVED_MARKET_EXIT_NOT_CONFIRMED_SALE
CATEGORY_YEAR,"Arazi, SUV, Pick-up",Mercedes-Benz,GLE,450 4Matic AMG,2022,1,64000.0,64000.0,64000.0,1,0,1,MODEL_YEAR,MODEL_YEAR,49.0,49.0,49.0,35.0,42.0,35.5,0.5714285714285714,0.14285714285714285,MEDIUM,MEDIUM,MEDIUM,86.74,71.4,65.0,80.22,0.97,STRONG,MODERATE,STRONG,80.44,78.03,97.27,VERY_STRONG,STRONG_OBSERVED_TURNOVER|RELATIVELY_LOW_ASKING_PRICE_PRESSURE,OBSERVED_MARKET_EXIT_NOT_CONFIRMED_SALE
CATEGORY_YEAR,Otomobil,Honda,Fit,1.3 4WD CVT,2019,1,9250.0,9250.0,9250.0,0,1,1,MODEL_YEAR,MODEL_YEAR,136.0,136.0,136.0,88.0,102.0,12.5,0.8636363636363636,0.21568627450980393,MEDIUM,HIGH,MEDIUM,98.68,71.07,65.0,66.32,0.97,STRONG,MODERATE,MODERATE,82.24,79.77,97.06,VERY_STRONG,STRONG_OBSERVED_TURNOVER,OBSERVED_MARKET_EXIT_NOT_CONFIRMED_SALE
CATEGORY_YEAR,Otomobil,Toyota,Axio,1.5,2019,1,10500.0,10500.0,10500.0,1,0,1,CATEGORY_ALL_YEARS,CATEGORY_ALL_YEARS,95.0,95.0,95.0,52.0,66.0,14.0,0.7307692307692307,0.19696969696969696,MEDIUM,MEDIUM,MEDIUM,92.28,71.07,65.0,74.2,0.97,STRONG,MODERATE,MODERATE,81.4,78.96,96.39,VERY_STRONG,STRONG_OBSERVED_TURNOVER,OBSERVED_MARKET_EXIT_NOT_CONFIRMED_SALE
CATEGORY_YEAR,Otomobil,Toyota,Axio,1.5,2016,1,10500.0,10500.0,10500.0,0,1,1,CATEGORY_ALL_YEARS,CATEGORY_ALL_YEARS,95.0,95.0,95.0,52.0,66.0,14.0,0.7307692307692307,0.19696969696969696,MEDIUM,MEDIUM,MEDIUM,92.28,71.07,65.0,74.2,0.97,STRONG,MODERATE,MODERATE,81.4,78.96,96.39,VERY_STRONG,STRONG_OBSERVED_TURNOVER,OBSERVED_MARKET_EXIT_NOT_CONFIRMED_SALE
CATEGORY_YEAR,"Arazi, SUV, Pick-up",Volvo,XC40,2.0 B3,2023,1,32000.0,32000.0,32000.0,0,1,1,MODEL_ALL_YEARS,MODEL_ALL_YEARS,88.0,88.0,88.0,62.0,70.0,26.0,0.5645161290322581,0.17142857142857143,MEDIUM,MEDIUM,MEDIUM,86.11,71.4,65.0,70.88,0.97,STRONG,MODERATE,MODERATE,77.32,75.0,95.61,VERY_STRONG,STRONG_OBSERVED_TURNOVER,OBSERVED_MARKET_EXIT_NOT_CONFIRMED_SALE
CATEGORY_YEAR,Otomobil,Honda,Fit,1.3 Automatic,2002,1,4500.0,4500.0,4500.0,1,0,1,CATEGORY_ALL_YEARS,CATEGORY_ALL_YEARS,372.0,372.0,372.0,231.0,263.0,17.0,0.6796536796536796,0.19011406844106463,HIGH,HIGH,HIGH,87.25,71.07,65.0,75.68,1.0,STRONG,MODERATE,STRONG,79.33,79.33,95.5,VERY_STRONG,STRONG_OBSERVED_TURNOVER|RELATIVELY_LOW_ASKING_PRICE_PRESSURE,OBSERVED_MARKET_EXIT_NOT_CONFIRMED_SALE
