Link,Company,VehicleType,Brand,Model,CategoryDetail,Year,KM,Location,Transmission,Color,Image,CurrentAskingPrice,FirstSeenDate,LastSeenDate,StockAgeDays,PublicListingAgeDefinition,PublicListingAgeIsLowerBound,FirstObservedPrice,HistoricalLatestObservedPrice,PriceChangeAmount,PriceChangePct,HasReducedPrice,ClassificationStatus,CategoryConfidence,BenchmarkSource,HistoricalMedianObservedDaysToExit,HistoricalP25ObservedDaysToExit,HistoricalP75ObservedDaysToExit,ObservedExit30Rate,ObservedExit60Rate,ObservedExit90Rate,LiquidityEvidenceConfidence,HistoricalPriceReductionRate,HistoricalMedianReductionPctAmongReduced,PricePressureEvidenceConfidence,LiquidityEvidenceLevel,PricePressureEvidenceLevel,ComparableSelection,ComparableListings,ComparableEvidenceConfidence,ComparableMedianPrice,ComparableP25Price,ComparableP75Price,ComparableMinPrice,ComparableMaxPrice,ComparableMedianKM,KMVsComparableMedian,PriceVsMedianPct,PricePercentile,PricePositionBand,AgeVsMarketMedianDays,AgeVsMarketMedianPct,StockAgeBand,AttentionLevel,AttentionReasons
https://www.kktcarabam.com/98002-honda-fit-girne-benzin-otomatik,.,Otomobil,Honda,Fit,,2023,3700.0,Girne,Otomatik,Lacivert,https://www.kktcarabam.com/uploads/images/2024/06/26/10/1000027780-667bc70baaf99-270_200.png,17500.0,2025-12-24,2026-09-09,260.0,AT_LEAST_DAYS_SINCE_FIRST_OBSERVED_ADVERTISED,True,17500.0,17500.0,0.0,0.0,,FULL,DIRECT,MODEL_YEAR,21.0,8.0,56.0,0.4617325483599663,0.5929456625357483,0.6659142212189616,HIGH,0.2138910812943962,0.0588235294117647,HIGH,MODEL,MODEL,MODEL_EXACT_YEAR_MILEAGE_NEARBY,10,MEDIUM,16500.0,14900.0,17875.0,13900.0,18500.0,13000.0,-9300.0,0.06060606060606061,70.0,HIGH_MID,239.0,11.380952380952381,VERY_AGED,ATTENTION,VERY_AGED_VS_MARKET|UPPER_PRICE_POSITION
https://www.kktcarabam.com/236357-toyota-land-cruiser-lefke-dizel-otomatik,29 Motors,"Arazi, SUV, Pick-up",Toyota,Land Cruiser,2.8 D-4D Prado,2021,48000.0,Lefke,Otomatik,Siyah,https://www.kktcarabam.com/uploads/images/2026/04/28/18/1-69f0cf576e457-270_200.jpg,49000.0,2026-04-29,2026-09-09,134.0,DAYS_SINCE_FIRST_OBSERVED_ADVERTISED,False,49000.0,49000.0,0.0,0.0,False,FULL,DIRECT,CATEGORY_YEAR,49.5,28.5,95.75,0.2272727272727272,0.3157894736842105,0.3333333333333333,LOW,0.1153846153846153,0.0365853658536585,LOW,CATEGORY,CATEGORY,MODEL_YEAR_PLUS_MINUS_1_MILEAGE_NEARBY,5,LOW,49000.0,45900.0,88000.0,43000.0,88000.0,37000.0,11000.0,0.0,60.0,MID_MARKET,84.5,1.707070707070707,VERY_AGED,ATTENTION,VERY_AGED_VS_MARKET
https://www.kktcarabam.com/162261-land-rover-defender-gmagusa-dizel-otomatik,313 Cars,"Arazi, SUV, Pick-up",Land Rover,Defender,110 3.0,2022,38302.0,G.Mağusa,Otomatik,Beyaz,https://www.kktcarabam.com/uploads/images/2025/01/26/20/fd630d3d-de1a-4d13-9009-98bb6063e0de-67966a16592d2-270_200.jpg,105000.0,2025-12-24,2026-09-09,260.0,AT_LEAST_DAYS_SINCE_FIRST_OBSERVED_ADVERTISED,True,105000.0,105000.0,0.0,0.0,,FULL,DIRECT,CATEGORY_YEAR,26.0,18.0,43.0,0.2222222222222222,0.3684210526315789,0.4,LOW,0.0967741935483871,0.0625078134766845,MEDIUM,MODEL,MODEL,MODEL_YEAR_PLUS_MINUS_1,10,MEDIUM,74995.0,70625.0,78750.0,58000.0,90000.0,21604.0,16698.0,0.4000933395559704,100.0,HIGH,234.0,9.0,VERY_AGED,HIGH,VERY_AGED_VS_MARKET|HIGH_PRICE_POSITION
https://www.kktcarabam.com/213228-nissan-juke-girne-benzin-otomatik,313 Cars,"Arazi, SUV, Pick-up",Nissan,Juke,,2011,200000.0,Girne,Otomatik,Bordo,https://www.kktcarabam.com/uploads/images/2025/11/27/16/b0e845be-e2bb-4ab7-9c9c-85c1ba60682e-6928546f4abea-270_200.jpg,7500.0,2025-12-24,2026-09-09,260.0,AT_LEAST_DAYS_SINCE_FIRST_OBSERVED_ADVERTISED,True,8000.0,7500.0,-500.0,-0.0625,,FULL,DIRECT,MODEL_YEAR,43.0,13.0,97.5,0.2692307692307692,0.4270833333333333,0.5222222222222223,MEDIUM,0.3333333333333333,0.1043557168784029,HIGH,MODEL,MODEL,MODEL_EXACT_YEAR,10,MEDIUM,6995.0,6900.0,7187.5,6500.0,7900.0,126500.0,73500.0,0.07219442458899214,90.0,HIGH,217.0,5.046511627906977,VERY_AGED,HIGH,VERY_AGED_VS_MARKET|HIGH_PRICE_POSITION
https://www.kktcarabam.com/190660-toyota-yaris-gmagusa-benzin-otomatik,313 Cars,Otomobil,Toyota,Yaris,1.0,2022,76000.0,G.Mağusa,Otomatik,Gri-Met,https://www.kktcarabam.com/uploads/images/2025/07/09/20/85cf0140-811f-4be8-8f35-ed395f643e5a-686ea152cbd76-270_200.jpg,13500.0,2025-12-24,2026-09-09,260.0,AT_LEAST_DAYS_SINCE_FIRST_OBSERVED_ADVERTISED,True,13500.0,13500.0,0.0,0.0,,FULL,DIRECT,CATEGORY_YEAR,29.0,11.0,66.25,0.336283185840708,0.4951923076923077,0.5862068965517241,HIGH,0.2403433476394849,0.048,HIGH,CATEGORY,CATEGORY,CATEGORY_EXACT_YEAR_MILEAGE_NEARBY,20,HIGH,12500.0,12185.0,13124.25,10990.0,14900.0,76000.0,0.0,0.08,85.0,HIGH,231.0,7.9655172413793105,VERY_AGED,HIGH,VERY_AGED_VS_MARKET|HIGH_PRICE_POSITION
https://www.kktcarabam.com/217924-mazda-demio-girne-benzin-otomatik,313 Cars,Otomobil,Mazda,Demio,1.3i,2012,123000.0,Girne,Otomatik,Atlas Grisi,https://www.kktcarabam.com/uploads/images/2026/01/03/00/e2759414-1a74-4adf-8139-7d620b5c03f8-695832ccc2811-270_200.jpg,6500.0,2026-01-03,2026-09-09,250.0,DAYS_SINCE_FIRST_OBSERVED_ADVERTISED,False,7000.0,6500.0,-500.0,-0.0714285714285714,True,FULL,DIRECT,CATEGORY_YEAR,13.0,5.0,37.0,0.5846994535519126,0.705685618729097,0.7773279352226721,HIGH,0.2652068126520681,0.0667999999999999,HIGH,CATEGORY,CATEGORY,CATEGORY_EXACT_YEAR_MILEAGE_NEARBY,14,MEDIUM,6000.0,5775.0,6500.0,5500.0,6750.0,126500.0,-3500.0,0.08333333333333333,85.71428571428571,HIGH,237.0,18.23076923076923,VERY_AGED,HIGH,VERY_AGED_VS_MARKET|HIGH_PRICE_POSITION
https://www.kktcarabam.com/222620-volvo-xc40-girne-hibrit-otomatik,313 Cars,"Arazi, SUV, Pick-up",Volvo,XC40,2.0 B4,2022,6437.0,Girne,Otomatik,Silver,https://www.kktcarabam.com/uploads/images/2026/02/05/00/f7c27a50-0d04-4b24-ae00-0b4e164375b8-6983bb700cd7a-270_200.jpg,35000.0,2026-02-05,2026-09-09,217.0,DAYS_SINCE_FIRST_OBSERVED_ADVERTISED,False,35000.0,35000.0,0.0,0.0,False,FULL,DIRECT,CATEGORY_YEAR,38.0,14.0,71.5,0.3333333333333333,0.5333333333333333,0.7407407407407407,MEDIUM,0.1388888888888889,0.0338983050847457,MEDIUM,CATEGORY,CATEGORY,CATEGORY_EXACT_YEAR,5,LOW,29900.0,27500.0,29900.0,23950.0,29900.0,27277.0,-20840.0,0.1705685618729097,100.0,HIGH,179.0,4.7105263157894735,VERY_AGED,HIGH,VERY_AGED_VS_MARKET|HIGH_PRICE_POSITION
https://www.kktcarabam.com/234748-toyota-corolla-girne-hibrit-otomatik,313 Cars,Otomobil,Toyota,Corolla,1.8 Hybrid,2023,20921.0,Girne,Otomatik,Siyah,https://www.kktcarabam.com/uploads/images/2026/04/19/00/b4b8b09d-4176-442f-bc48-556d9d56c939-69e3f9225af47-270_200.jpg,23000.0,2026-04-19,2026-09-09,144.0,DAYS_SINCE_FIRST_OBSERVED_ADVERTISED,False,23000.0,23000.0,0.0,0.0,False,FULL,DIRECT,CATEGORY_YEAR,37.0,13.0,86.0,0.2615384615384615,0.3793103448275862,0.5,MEDIUM,0.2027027027027027,0.054054054054054,MEDIUM,CATEGORY,CATEGORY,CATEGORY_EXACT_YEAR,6,LOW,19000.0,18625.0,19000.0,15750.0,21300.0,39177.5,-18256.5,0.21052631578947367,100.0,HIGH,107.0,2.891891891891892,VERY_AGED,HIGH,VERY_AGED_VS_MARKET|HIGH_PRICE_POSITION
https://www.kktcarabam.com/234746-toyota-yaris-girne-hibrit-otomatik,313 Cars,Otomobil,Toyota,Yaris,1.5 Hybrid,2023,14.0,Girne,Otomatik,Siyah,https://www.kktcarabam.com/uploads/images/2026/04/19/00/f35785ba-c174-4c7b-bb4b-4e97ede8a007-69e3f4bdaef3d-270_200.jpg,24000.0,2026-04-19,2026-09-09,144.0,DAYS_SINCE_FIRST_OBSERVED_ADVERTISED,False,24000.0,24000.0,0.0,0.0,False,FULL,VALIDATED_RECONSTRUCTION,CATEGORY_YEAR,32.0,10.5,61.0,0.3487179487179487,0.5384615384615384,0.6477987421383647,HIGH,0.1835748792270531,0.0430555555555555,HIGH,CATEGORY,CATEGORY,CATEGORY_EXACT_YEAR,15,HIGH,15000.0,14900.0,16500.0,12400.0,24000.0,35000.0,-34986.0,0.6,100.0,HIGH,112.0,3.5,VERY_AGED,HIGH,VERY_AGED_VS_MARKET|HIGH_PRICE_POSITION
https://www.kktcarabam.com/141615-audi-tt-gmagusa-benzin-otomatik,313 Cars,Otomobil,Audi,TT,2.0,2020,43452.0,G.Mağusa,Otomatik,Gri-Met,https://www.kktcarabam.com/uploads/images/2024/09/21/11/ce45c9f5-a256-449f-b0e6-dfc4d232a5d5-66ee868209ab7-270_200.jpg,36000.0,2025-12-24,2026-09-09,260.0,AT_LEAST_DAYS_SINCE_FIRST_OBSERVED_ADVERTISED,True,36000.0,36000.0,0.0,0.0,,FULL,DIRECT,CATEGORY_YEAR,30.0,18.5,72.0,0.5,0.5454545454545454,0.5714285714285714,LOW,0.2307692307692307,0.0671140939597315,LOW,MODEL,MODEL,NONE,0,INSUFFICIENT,,,,,,,,,,INSUFFICIENT_EVIDENCE,230.0,7.666666666666667,VERY_AGED,ATTENTION,VERY_AGED_VS_MARKET
