Brand,Model,VehicleType,BodyStyle,SizeClass,Economy,Luxury,Comfort,Performance,Practicality,Family,Commute,Confidence,Source,ProfileVersion,LastUpdatedUTC
Access,Shade Xtreme 800L,ATV_UTV,ATV_UTV,UNKNOWN,MEDIUM,LOW,LOW,HIGH,MEDIUM,LOW,LOW,MEDIUM,MODEL_PROFILE_AI,1.0,2026-09-04T21:22:10+00:00
Alfa Romeo,Giulietta,CAR,HATCHBACK,COMPACT,MEDIUM,MEDIUM,MEDIUM,HIGH,MEDIUM,MEDIUM,HIGH,HIGH,MODEL_PROFILE_AI,1.0,2026-09-04T21:21:41+00:00
Alfa Romeo,GT,CAR,COUPE,COMPACT,MEDIUM,MEDIUM,MEDIUM,MEDIUM,MEDIUM,LOW,MEDIUM,HIGH,MODEL_PROFILE_AI,1.0,2026-09-04T21:23:33+00:00
Alfa Romeo,Spider,CAR,CONVERTIBLE,COMPACT,MEDIUM,MEDIUM,MEDIUM,HIGH,LOW,LOW,MEDIUM,HIGH,MODEL_PROFILE_AI,1.0,2026-09-04T21:22:00+00:00
Aprilia,Diğer,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,LOW,MODEL_PROFILE_AI,1.0,2026-09-05T06:11:44+00:00
Aprilia,SR 175,SCOOTER,SCOOTER,SMALL,MEDIUM,LOW,MEDIUM,MEDIUM,HIGH,LOW,HIGH,MEDIUM,MODEL_PROFILE_AI,1.0,2026-09-04T21:20:52+00:00
Audi,80 Serisi,CAR,SEDAN,MIDSIZE,MEDIUM,MEDIUM,MEDIUM,MEDIUM,MEDIUM,MEDIUM,MEDIUM,HIGH,MODEL_PROFILE_AI,1.0,2026-09-04T21:23:43+00:00
Audi,A1,CAR,HATCHBACK,SMALL,HIGH,MEDIUM,MEDIUM,MEDIUM,MEDIUM,MEDIUM,HIGH,HIGH,MODEL_PROFILE_AI,1.0,2026-09-04T21:22:00+00:00
Audi,A3,CAR,HATCHBACK,COMPACT,MEDIUM,HIGH,MEDIUM,MEDIUM,MEDIUM,MEDIUM,HIGH,HIGH,MODEL_PROFILE_AI,1.0,2026-09-04T21:20:52+00:00
Audi,A4,CAR,SEDAN,COMPACT,MEDIUM,HIGH,HIGH,MEDIUM,MEDIUM,MEDIUM,HIGH,HIGH,MODEL_PROFILE_AI,1.0,2026-09-04T21:21:31+00:00
Audi,A5,CAR,COUPE,MIDSIZE,MEDIUM,HIGH,HIGH,HIGH,MEDIUM,LOW,MEDIUM,HIGH,MODEL_PROFILE_AI,1.0,2026-09-04T21:21:41+00:00
Audi,A6,CAR,SEDAN,LARGE,MEDIUM,HIGH,HIGH,MEDIUM,MEDIUM,HIGH,MEDIUM,HIGH,MODEL_PROFILE_AI,1.0,2026-09-04T21:23:04+00:00
Audi,A7,CAR,COUPE,LARGE,MEDIUM,HIGH,HIGH,HIGH,MEDIUM,MEDIUM,MEDIUM,HIGH,MODEL_PROFILE_AI,1.0,2026-09-04T21:23:24+00:00
Audi,A8,CAR,SEDAN,LARGE,MEDIUM,HIGH,HIGH,MEDIUM,MEDIUM,MEDIUM,MEDIUM,HIGH,MODEL_PROFILE_AI,1.0,2026-09-04T21:24:14+00:00
Audi,E-Tron,UNKNOWN,SUV,LARGE,MEDIUM,HIGH,HIGH,MEDIUM,HIGH,HIGH,MEDIUM,HIGH,MODEL_PROFILE_AI,1.0,2026-09-04T21:23:53+00:00
Audi,E-Tron GT,CAR,SEDAN,LARGE,MEDIUM,HIGH,HIGH,HIGH,MEDIUM,MEDIUM,MEDIUM,HIGH,MODEL_PROFILE_AI,1.0,2026-09-04T21:24:28+00:00
Audi,Q2,CAR,SUV,COMPACT,MEDIUM,HIGH,MEDIUM,MEDIUM,MEDIUM,MEDIUM,HIGH,HIGH,MODEL_PROFILE_AI,1.0,2026-09-04T21:23:14+00:00
Audi,Q3,CAR,SUV,COMPACT,MEDIUM,HIGH,HIGH,MEDIUM,HIGH,HIGH,HIGH,HIGH,MODEL_PROFILE_AI,1.0,2026-09-04T21:22:53+00:00
Audi,Q4,CAR,SUV,COMPACT,MEDIUM,HIGH,HIGH,MEDIUM,HIGH,HIGH,MEDIUM,HIGH,MODEL_PROFILE_AI,1.0,2026-09-04T21:23:53+00:00
Audi,Q4 Sportback,CAR,COUPE,COMPACT,HIGH,HIGH,HIGH,MEDIUM,MEDIUM,MEDIUM,HIGH,HIGH,MODEL_PROFILE_AI,1.0,2026-09-04T21:24:02+00:00
Audi,Q5,CAR,SUV,MIDSIZE,MEDIUM,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,MODEL_PROFILE_AI,1.0,2026-09-04T21:22:53+00:00
