Brand,Model,Year,Price,KM,Company,Location,Transmission,Color,Image,Link
Peugeot,307,2004,1100.0,310000.0,Bireysel,Girne,Düz,Mavi-Parlement,https://www.kktcarabam.com/uploads/images/2026/06/07/13/img-20260607-wa0006-6a254476d6268-270_200.jpg,https://www.kktcarabam.com/242308-peugeot-307-girne-benzin-duz
Yamaha,Diğer,2015,1250.0,57409.0,Bireysel,İskele,Otomatik,Kırmızı,https://www.kktcarabam.com/uploads/images/2026/07/31/21/1000225586-6a6cea951a31f-270_200.jpg,https://www.kktcarabam.com/251467-yamaha-diger-iskele-benzin-otomatik
Suzuki,Diğer,2015,1250.0,75000.0,Bireysel,Lefkoşa,Otomatik,Beyaz,https://www.kktcarabam.com/uploads/images/2026/07/10/12/1000252003-6a50ba983f656-270_200.jpg,https://www.kktcarabam.com/246417-suzuki-diger-lefkosa-benzin-otomatik
Honda,Activa 110,2023,1300.0,6800.0,Bireysel,Girne,Otomatik,Bordo,https://www.kktcarabam.com/uploads/images/2026/06/23/15/1000246565-6a3a828ef152f-270_200.jpg,https://www.kktcarabam.com/234823-honda-activa-110-girne-benzin-otomatik
Yamaha,Diğer,2014,1350.0,41000.0,Bireysel,Girne,Otomatik,Yeşil-Siyah,https://www.kktcarabam.com/uploads/images/2026/03/07/18/1000203311-69ac3e64f1a71-270_200.jpg,https://www.kktcarabam.com/227751-yamaha-diger-girne-benzin-otomatik
Seat,Toledo,2004,1500.0,153889.0,Osmanlızade Otomotiv,Lefkoşa,Düz,Lacivert,https://www.kktcarabam.com/uploads/images/2026/06/10/13/whatsapp-image-2026-06-10-at-132707-1-6a293e416f0e6-270_200.jpg,https://www.kktcarabam.com/242814-seat-toledo-lefkosa-dizel-duz
Fiat,Siena,1999,1500.0,,Osmanlızade Otomotiv,Lefkoşa,Düz,Beyaz,https://www.kktcarabam.com/uploads/images/2024/08/22/09/6f974139-c832-4e28-877b-d58874d05d7b-66c6db3fca3d9-270_200.jpg,https://www.kktcarabam.com/134395-fiat-siena-lefkosa-benzin-duz
Toyota,Starlet,1993,1500.0,,Bireysel,G.Mağusa,Düz,Mavi-Koyu,https://www.kktcarabam.com/uploads/images/2026/04/21/15/1000103792-69e76775c10f2-270_200.jpg,https://www.kktcarabam.com/235148-toyota-starlet-gmagusa-benzin-duz
Yuki,Legend,2023,1700.0,,Arsi Motors,Lefkoşa,Otomatik,Gri-Met,https://www.kktcarabam.com/uploads/images/2023/03/10/18/1-640b539d2d0dd-270_200.jpg,https://www.kktcarabam.com/60161-yuki-legend-lefkosa-benzin-otomatik
Kuba,Pesaro,2023,1750.0,,Arsi Motors,Lefkoşa,Otomatik,Kırmızı,https://www.kktcarabam.com/uploads/images/2023/07/30/10/fb-img-1690703813923-64c61829bdbac-270_200.jpg,https://www.kktcarabam.com/75046-kuba-pesaro-lefkosa-benzin-otomatik
Yuki,Risotto,2023,1750.0,,Arsi Motors,Lefkoşa,Otomatik,Gri-Met,https://www.kktcarabam.com/uploads/images/2023/03/13/14/1-640f0e6f4d9c6-270_200.jpg,https://www.kktcarabam.com/60416-yuki-risotto-lefkosa-benzin-otomatik
RKS,Sieste,2023,1750.0,,Arsi Motors,Lefkoşa,Otomatik,Sarı,https://www.kktcarabam.com/uploads/images/2023/03/11/11/2-640c3cdf5bfa3-270_200.jpg,https://www.kktcarabam.com/60219-rks-sieste-lefkosa-benzin-otomatik
Yuki,Risotto,2023,1750.0,,Arsi Motors,Lefkoşa,Otomatik,Gold,https://www.kktcarabam.com/uploads/images/2023/03/10/18/1-640b512689604-270_200.jpg,https://www.kktcarabam.com/60157-yuki-risotto-lefkosa-benzin-otomatik
Suzuki,Swift,2002,1750.0,,Bireysel,G.Mağusa,Düz,Beyaz,https://www.kktcarabam.com/uploads/images/2026/04/12/12/1000215540-69db6a77c7516-270_200.jpg,https://www.kktcarabam.com/233695-suzuki-swift-gmagusa-benzin-duz
Yuki,Crypto,2023,1850.0,,Arsi Motors,Lefkoşa,Otomatik,Kırmızı,https://www.kktcarabam.com/uploads/images/2023/07/30/11/fb-img-1690705220837-64c61db575856-270_200.jpg,https://www.kktcarabam.com/75050-yuki-crypto-lefkosa-benzin-otomatik
Motolux,Rossi Rs,2023,1850.0,,Arsi Motors,Lefkoşa,Otomatik,Beyaz,https://www.kktcarabam.com/uploads/images/2023/07/30/11/fb-img-1690705006728-64c61cc097fbf-270_200.jpg,https://www.kktcarabam.com/75049-motolux-rossi-rs-lefkosa-benzin-otomatik
RKS,Galaxy Gold,2023,1850.0,,Arsi Motors,Lefkoşa,Otomatik,Atlas Grisi,https://www.kktcarabam.com/uploads/images/2023/06/23/08/img-20230620-204022-994-649533cf6b425-270_200.jpg,https://www.kktcarabam.com/71716-rks-galaxy-gold-lefkosa-benzin-otomatik
Kuba,Brilliand,2023,1850.0,,Arsi Motors,Lefkoşa,Otomatik,Beyaz,https://www.kktcarabam.com/uploads/images/2023/03/13/14/1-640f03a479ff3-270_200.jpg,https://www.kktcarabam.com/60400-kuba-brilliand-lefkosa-benzin-otomatik
Motolux,Macchiato,2023,1850.0,,Arsi Motors,Lefkoşa,Otomatik,Beyaz,https://www.kktcarabam.com/uploads/images/2023/03/11/11/1-640c3e29e3f99-270_200.jpg,https://www.kktcarabam.com/60222-motolux-macchiato-lefkosa-benzin-otomatik
Suzuki,Alto,2006,1900.0,200000.0,KAĞAN DAYI AUTO,Lefkoşa,Otomatik,Beyaz,https://www.kktcarabam.com/uploads/images/2026/08/19/16/alto1-6a85b4ee846cc-270_200.jpg,https://www.kktcarabam.com/255214-suzuki-alto-lefkosa-benzin-otomatik
Citroen,C3,2004,1900.0,,Asal Oto Galeri,Lefkoşa,Yarı Otomatik,Yeşil-Açık,https://www.kktcarabam.com/uploads/images/2025/01/29/09/1000102777-6799d1c32c536-270_200.jpg,https://www.kktcarabam.com/162711-citroen-c3-lefkosa-benzin-yari-otomatik
Honda,Logo,2001,1900.0,,M. Cangil Auto Trading Ltd.,Girne,Otomatik,Gümüş,https://www.kktcarabam.com/uploads/images/2025/06/20/18/6-68558402c7148-270_200.jpg,https://www.kktcarabam.com/187749-honda-logo-girne-benzin-otomatik
Honda,Dio,2026,1950.0,,OSHAN AUTO GALERI,G.Mağusa,Otomatik,Siyah,https://www.kktcarabam.com/uploads/images/2026/06/27/14/a6cfc348-5a28-4bfc-8347-6e4d51e1c592-6a3fb1483a130-270_200.jpg,https://www.kktcarabam.com/245763-honda-dio-gmagusa-benzin-otomatik
Honda,Dio,2026,1950.0,,OSHAN AUTO GALERI,G.Mağusa,Otomatik,Bordo,https://www.kktcarabam.com/uploads/images/2026/06/27/14/c68346f6-1da6-4ec1-b37f-ebbd57b38f7d-6a3faefbe5ea5-270_200.jpg,https://www.kktcarabam.com/245760-honda-dio-gmagusa-benzin-otomatik
Motolux,Mtx125,2023,1950.0,,Arsi Motors,Lefkoşa,Otomatik,Bej,https://www.kktcarabam.com/uploads/images/2023/03/11/11/1-640c37cf8b8ab-270_200.jpg,https://www.kktcarabam.com/60211-motolux-mtx125-lefkosa-benzin-otomatik
Honda,Activa 110,2026,1990.0,,OSHAN AUTO GALERI,G.Mağusa,Otomatik,Beyaz,https://www.kktcarabam.com/uploads/images/2026/06/27/19/7965df20-f3ed-4832-90ec-c6c6d07592b0-6a3ff4f1348c8-270_200.jpg,https://www.kktcarabam.com/245768-honda-activa-110-gmagusa-benzin-otomatik
Hyundai,Matrix,2008,1990.0,200000.0,Any Cars,Lefkoşa,Düz,Siyah,https://www.kktcarabam.com/uploads/images/2025/01/08/17/472548982-122131758542473490-2906540349577158992-n-677e8e8331bdf-270_200.jpg,https://www.kktcarabam.com/159573-hyundai-matrix-lefkosa-dizel-duz
Citroen,C3,2004,1990.0,,Güder Motors,G.Mağusa,Düz,Mavi-Açık,https://www.kktcarabam.com/uploads/images/2026/01/23/12/whatsapp-image-2026-01-23-at-115232-69734597a98cf-270_200.jpg,https://www.kktcarabam.com/220832-citroen-c3-gmagusa-benzin-duz
Suzuki,Aerio,2002,1990.0,,NURKAM AUTO GALERI,G.Mağusa,Otomatik,Gümüş,https://www.kktcarabam.com/uploads/images/2026/07/04/21/1000251536-6a4952b40b664-270_200.jpg,https://www.kktcarabam.com/247048-suzuki-aerio-gmagusa-benzin-otomatik
Balıkçı,Teknesi,2025,2000.0,,Bireysel,G.Mağusa,,,https://www.kktcarabam.com/uploads/images/2026/03/01/19/1000200588-69a46b251fadb-270_200.jpg,https://www.kktcarabam.com/226700-balikci-teknesigmagusa-elektrik
Mercedes-Benz,CLA,2023,2000.0,72000.0,KA & İS MOTORS,G.Mağusa,Otomatik,Beyaz,https://www.kktcarabam.com/uploads/images/2026/06/19/10/img-6422-6a34ead32ea28-270_200.jpg,https://www.kktcarabam.com/244345-mercedes-benz-cla-gmagusa-benzin-otomatik
Yuki,Diğer,2023,2000.0,,Bireysel,Lefke,Düz,Beyaz,https://www.kktcarabam.com/uploads/images/2025/07/30/15/1000034700-688a11962deff-270_200.jpg,https://www.kktcarabam.com/193651-yuki-diger-lefke-benzin-duz
Suzuki,Swift,2022,2000.0,35000.0,Veezy Car,Girne,Otomatik,Siyah,https://www.kktcarabam.com/uploads/images/2026/08/03/17/ba2de72c-a812-4dc0-8d72-711baf5fe4fa-6a70a9bd1d406-270_200.jpg,https://www.kktcarabam.com/251774-suzuki-swift-girne-benzin-otomatik
Mazda,CX-5,2022,2000.0,34000.0,Veezy Car,Girne,Otomatik,Füme,https://www.kktcarabam.com/uploads/images/2026/08/03/16/efd0c8dd-ca35-4669-8863-9f4405d0e395-6a709e0e598d2-270_200.jpg,https://www.kktcarabam.com/251768-mazda-cx-5-girne-dizel-otomatik
Nissan,Note,2020,2000.0,85000.0,Mutlu Halıcı Auto Galeri,Lefkoşa,Otomatik,Gri-Met,https://www.kktcarabam.com/uploads/images/2026/05/11/22/1000491316-6a022ece2ca98-270_200.jpg,https://www.kktcarabam.com/238306-nissan-note-lefkosa-benzin-otomatik
Mercedes-Benz,C Serisi,2020,2000.0,89000.0,Veezy Car,Girne,Otomatik,Silver,https://www.kktcarabam.com/uploads/images/2026/08/07/11/img-1666-6a7595f38db31-270_200.jpg,https://www.kktcarabam.com/252382-mercedes-benz-c-serisi-girne-dizel-otomatik
Isuzu,D-Max,2020,2000.0,,Mehmet Tahsin Trading Ltd,Lefkoşa,Düz,Silver,https://www.kktcarabam.com/uploads/images/2026/06/01/10/20260526-094511-6a1d2fd8deea4-270_200.jpg,https://www.kktcarabam.com/241229-isuzu-d-max-lefkosa-dizel-duz
Mitsubishi,L 200,2018,2000.0,,Mehmet Tahsin Trading Ltd,Lefkoşa,Düz,Kırmızı,https://www.kktcarabam.com/uploads/images/2025/12/20/09/20251219-105642-694644c0da570-270_200.jpg,https://www.kktcarabam.com/216225-mitsubishi-l-200-lefkosa-dizel-duz
Mitsubishi,L 200,2018,2000.0,,Mehmet Tahsin Trading Ltd,Lefkoşa,Düz,Beyaz,https://www.kktcarabam.com/uploads/images/2024/09/19/11/20240918-115943-66ebdc6014392-270_200.jpg,https://www.kktcarabam.com/141078-mitsubishi-l-200-lefkosa-dizel-duz
Isuzu,D-Max,2017,2000.0,,Mehmet Tahsin Trading Ltd,Lefkoşa,Otomatik,Silver,https://www.kktcarabam.com/uploads/images/2026/06/16/09/20260615-122545-6a30e69b476e7-270_200.jpg,https://www.kktcarabam.com/243735-isuzu-d-max-lefkosa-dizel-otomatik
Isuzu,D-Max,2016,2000.0,,Mehmet Tahsin Trading Ltd,Lefkoşa,Düz,Silver,https://www.kktcarabam.com/uploads/images/2025/05/21/11/20250520-155715-682d8cb06ac02-270_200.jpg,https://www.kktcarabam.com/183406-isuzu-d-max-lefkosa-dizel-duz
Isuzu,D-Max,2015,2000.0,,Mehmet Tahsin Trading Ltd,Lefkoşa,Otomatik,Silver,https://www.kktcarabam.com/uploads/images/2026/04/28/09/20260427-100956-69f0542fd9f18-270_200.jpg,https://www.kktcarabam.com/236239-isuzu-d-max-lefkosa-dizel-otomatik
Isuzu,D-Max,2015,2000.0,,Mehmet Tahsin Trading Ltd,Lefkoşa,Otomatik,Gri-Met,https://www.kktcarabam.com/uploads/images/2025/09/22/15/20250920-151218-68d144330f639-270_200.jpg,https://www.kktcarabam.com/202660-isuzu-d-max-lefkosa-dizel-otomatik
